"concept_id_1","concept_name.x","total_patient_count","total_event_count","n","concepts","concepts2","percentile_rank","concept_code"
4164639,"Blind left eye",190694,419438,2,"100%~Unqualified visual loss, left eye, normal vision right eye (H54.62)45562287;190694 patients | 
NA","Unqualified visual loss, left eye, normal vision right eye | 
Blindness, left eye, category 3-5",0.843621399176955,"274571007"
36712706,"Vitreomacular adhesion of right eye",126658,409222,1,"100%~Vitreomacular adhesion, right eye (H43.821)45586473;126658 patients","Vitreomacular adhesion, right eye",0.839506172839506,"10762191000119106"
36712753,"Foreign body in right cornea",197892,312719,3,"88.6%~Foreign body in cornea, right eye, initial encounter (T15.01XA)45604015;175585 patients | 
11.4%~Foreign body in cornea, right eye, subsequent encounter (T15.01XD)45536467;22307 patients | 
NA","Foreign body in cornea, right eye, initial encounter | 
Foreign body in cornea, right eye, subsequent encounter | 
Foreign body in cornea, right eye",0.810699588477366,"10849141000119102"
42535528,"Blepharitis of right eyelid",177863,307617,1,"100%~Unspecified blepharitis right eye, upper and lower eyelids (H01.00A)1595550;177863 patients","Unspecified blepharitis right eye, upper and lower eyelids",0.806584362139918,"336311000119103"
36712754,"Foreign body in left cornea",186347,294937,3,"88.5%~Foreign body in cornea, left eye, initial encounter (T15.02XA)45604016;164876 patients | 
11.5%~Foreign body in cornea, left eye, subsequent encounter (T15.02XD)45565290;21471 patients | 
NA","Foreign body in cornea, left eye, initial encounter | 
Foreign body in cornea, left eye, subsequent encounter | 
Foreign body in cornea, left eye",0.799725651577503,"10849181000119107"
37207866,"Dermatochalasis of right lower eyelid",142862,246377,1,"100%~Dermatochalasis of right lower eyelid (H02.832)45595986;142862 patients","Dermatochalasis of right lower eyelid",0.779149519890261,"334221000119107"
36712713,"Primary basal cell carcinoma of left eyelid",41840,240766,2,"76.5%~Basal cell carcinoma of skin of left lower eyelid, including canthus (C44.1192)1595498;29573 patients | 
23.5%~Basal cell carcinoma of skin of left upper eyelid, including canthus (C44.1191)1595497;12267 patients","Basal cell carcinoma of skin of left lower eyelid, including canthus | 
Basal cell carcinoma of skin of left upper eyelid, including canthus",0.773662551440329,"1079111000119108"
45757719,"Blind right eye, normal vision left eye",51894,230090,7,"52.2%~Blindness right eye category 3, blindness left eye category 3 (H54.0X33)1326537;15526 patients | 
23.1%~Blindness right eye category 3, normal vision left eye (H54.413A)1326573;17908 patients | 
13.4%~Blindness right eye category 5, normal vision left eye (H54.415A)1326577;10396 patients | 
5.6%~Blindness right eye category 4, normal vision left eye (H54.414A)1326575;5354 patients | 
2.9%~Blindness right eye category 3, blindness left eye category 4 (H54.0X34)1326538;1564 patients | 
2.8%~Blindness right eye category 3, blindness left eye category 5 (H54.0X35)1326539;1146 patients | 
NA","Blindness right eye category 3, blindness left eye category 3 | 
Blindness right eye category 3, normal vision left eye | 
Blindness right eye category 5, normal vision left eye | 
Blindness right eye category 4, normal vision left eye | 
Blindness right eye category 3, blindness left eye category 4 | 
Blindness right eye category 3, blindness left eye category 5 | 
Blindness, right eye, normal vision left eye",0.766803840877915,"343021000119100"
36712715,"Primary basal cell carcinoma of right eyelid",40522,227007,2,"74.1%~Basal cell carcinoma of skin of right lower eyelid, including canthus (C44.1122)1595496;27513 patients | 
25.9%~Basal cell carcinoma of skin of right upper eyelid, including canthus (C44.1121)1595495;13009 patients","Basal cell carcinoma of skin of right lower eyelid, including canthus | 
Basal cell carcinoma of skin of right upper eyelid, including canthus",0.762688614540466,"1079171000119100"
37207926,"Dermatochalasis of left lower eyelid",119235,199793,1,"100%~Dermatochalasis of left lower eyelid (H02.835)45581546;119235 patients","Dermatochalasis of left lower eyelid",0.750342935528121,"339821000119107"
37168303,"Break of retina of right eye",74213,189412,1,"100%~Unspecified retinal break, right eye (H33.301)45557394;74213 patients","Unspecified retinal break, right eye",0.736625514403292,"1279731008"
37168305,"Break of retina of left eye",73344,185254,1,"100%~Unspecified retinal break, left eye (H33.302)45567034;73344 patients","Unspecified retinal break, left eye",0.735253772290809,"1279733006"
37208309,"Benign neoplasm of skin of right eyelid",113698,184538,3,"51.2%~Other benign neoplasm of skin of right upper eyelid, including canthus (D23.111)1595527;57449 patients | 
48.8%~Other benign neoplasm of skin of right lower eyelid, including canthus (D23.112)1595528;56249 patients | 
NA","Other benign neoplasm of skin of right upper eyelid, including canthus | 
Other benign neoplasm of skin of right lower eyelid, including canthus | 
Other benign neoplasm of skin of right eyelid, including canthus",0.733882030178326,"1079391000119102"
