"concept_id_1","concept_id_2","Patient.Count","Event.Count","concept_name.y","concept_name.x"
42537748,45605169,223676,2164314,"Acquired absence of other left toe(s)","Acquired absence of organ"
4093531,45605169,223676,2164314,"Acquired absence of other left toe(s)","Absence of toe"
136834,45608153,330582,2164039,"Displaced intertrochanteric fracture of right femur, initial encounter for closed fracture","Closed intertrochanteric fracture"
380706,45562274,1309456,2162567,"Regular astigmatism, left eye","Regular astigmatism"
605478,45556982,697829,2154560,"Squamous cell carcinoma of skin of left upper limb, including shoulder","Primary squamous cell carcinoma of skin of left upper limb"
4033839,45581293,1207497,2150609,"Melanocytic nevi of right upper limb, including shoulder","Melanocytic nevus of upper limb"
4053604,45593885,694679,2149490,"Unspecified open wound, left lower leg, initial encounter","Open wound of lower leg"
444211,45596770,758511,2141908,"Other specified disorders of bone density and structure, right thigh","Disorder of thigh"
75909,45596770,758511,2141908,"Other specified disorders of bone density and structure, right thigh","Disorder of bone"
4002956,45596685,751132,2132037,"Metatarsalgia, left foot","Metatarsalgia"
760038,45533385,1328926,2129625,"Acute serous otitis media, bilateral","Acute serous otitis media of bilateral ears"
4097159,45601424,251801,2108417,"Stiffness of right hip, not elsewhere classified","Hip stiff"
4033839,45532976,1187546,2101620,"Melanocytic nevi of left upper limb, including shoulder","Melanocytic nevus of upper limb"
46269757,45581981,231964,2097984,"Non-pressure chronic ulcer of other part of right lower leg with fat layer exposed","Chronic ulcer of skin of lower leg"
4104063,45600989,690343,2088915,"Chronic serous otitis media, bilateral","Bilateral chronic serous otitis"
77963,45582244,512250,2081603,"Achilles tendinitis, left leg","Achilles tendinitis"
78273,45582961,563973,2078455,"Multiple fractures of ribs, left side, initial encounter for closed fracture","Closed fracture of multiple ribs"
434500,45540587,413924,2076809,"Fracture of unspecified part of neck of right femur, subsequent encounter for closed fracture with routine healing","Closed fracture of neck of femur"
4158563,45561812,124894,2049133,"Malignant neoplasm of upper-inner quadrant of right female breast","Primary malignant neoplasm of upper inner quadrant of breast"
1075588,45537820,156158,2047234,"Malignant neoplasm of central portion of left female breast","Primary malignant neoplasm of central portion of breast"
37170711,45586789,70948,2042221,"Pressure ulcer of right buttock, stage 4","Pressure injury of right buttock stage IV"
4100662,45577022,916715,2035793,"Cellulitis of right finger","Cellulitis of finger"
759930,45605341,232290,2029227,"Intraductal carcinoma in situ of left breast","Ductal carcinoma in situ of left breast"
78273,45582959,560506,2024778,"Multiple fractures of ribs, right side, initial encounter for closed fracture","Closed fracture of multiple ribs"
36717286,45562385,375903,2016204,"Atherosclerosis of native arteries of extremities with intermittent claudication, left leg","Intermittent claudication of left lower limb co-occurrent and due to atherosclerosis"
37110250,45562385,375903,2016204,"Atherosclerosis of native arteries of extremities with intermittent claudication, left leg","Atherosclerosis of artery of lower limb"
434500,45588782,403505,2006585,"Fracture of unspecified part of neck of left femur, subsequent encounter for closed fracture with routine healing","Closed fracture of neck of femur"
1075588,45532911,158456,2001322,"Malignant neoplasm of central portion of right female breast","Primary malignant neoplasm of central portion of breast"
77630,45572544,746665,1998320,"Other shoulder lesions, right shoulder","Disorder of shoulder"
4000968,45577346,588682,1993902,"Bicipital tendinitis, right shoulder","Biceps tendinitis"
4053604,45603546,646827,1992087,"Unspecified open wound, right lower leg, initial encounter","Open wound of lower leg"
4154088,45567339,638384,1984708,"Cutaneous abscess of right lower limb","Abscess of lower limb"
4264617,45596521,422137,1981813,"Foot drop, right foot","Foot-drop"
4154088,45538564,636715,1970892,"Cutaneous abscess of left lower limb","Abscess of lower limb"
37170723,45601244,70575,1963848,"Pressure ulcer of left buttock, stage 4","Pressure injury of left buttock stage IV"
378425,45605578,998035,1961069,"Unspecified blepharitis right upper eyelid","Blepharitis"
37170709,45606004,182573,1960742,"Pressure ulcer of right buttock, stage 3","Pressure injury of right buttock stage III"
